RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_BEGIN_DE_FROM_ERA
53335829,20250707,10~20만원 미만,3~5만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,구미시/김천시,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상,20250412
53336236,20250707,10~20만원 미만,10만원 이상,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,인천시,모름,3명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상,20250517
53336521,20250707,10~20만원 미만,5~7만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,전라남도,고흥군,혼자서,1박 2일,M,30대,미혼,미혼,기능/숙련/일반작업직,모름,20250620
53336566,20250707,40만원 이상,10만원 이상,10만원 이상,1만원 미만,10만원 이상,1만원 미만,5~7만원 미만,인천시,모름,2명,1박 2일,F,40대,미혼,미혼,사무/기술직,500~700만원 미만,20250627
53336703,20250707,20~30만원 미만,1~3만원 미만,7~10만원 미만,5~7만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,강원도,정선군,5명 이상,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),경영/관리/전문직,모름,20250705
53336815,20250707,10~20만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경상남도,거창군,3명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),판매/서비스직,300~500만원 미만,20250615
53336816,20250707,40만원 이상,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,부산시,모름,3명,3박 4일,M,50대,기혼,자녀 성인(막내 대학),판매/서비스직,500~700만원 미만,20250407
53336897,20250707,30~40만원 미만,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시,2명,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),자영업,300~500만원 미만,20250602
53337056,20250707,20~30만원 미만,7~10만원 미만,7~10만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,강원도,고성군,2명,1박 2일,M,60대 이상,기혼,자녀 독립(막내 결혼),자영업,300~500만원 미만,20250421
53337084,20250707,30~40만원 미만,10만원 이상,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,전라남도,무안군,2명,4박 5일,M,40대,기타,신혼기(자녀 없음),사무/기술직,700만원 이상,20250602
53337670,20250707,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시,5명 이상,1박 2일,F,50대,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만,20250405
53337796,20250707,10~20만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라북도,완주군,3명,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만,20250628
53337954,20250707,10~20만원 미만,3~5만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1~3만원 미만,경상남도,하동군,2명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,20250620
53338245,20250707,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,충청남도,태안군,3명,1박 2일,M,40대,미혼,미혼,사무/기술직,300만원 미만,20250405
53338331,20250707,10~20만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,5~7만원 미만,1만원 미만,부산시,모름,2명,2박 3일,F,30대,기혼,신혼기(자녀 없음),사무/기술직,모름,20250503
53338376,20250707,40만원 이상,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,강원도,강릉시/고성군/삼척시/춘천시/태백시/평창군,4명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,20250407
53338584,20250707,30~40만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,가평군,4명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,모름,20250524
53338663,20250707,10~20만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,강원도,평창군,5명 이상,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,500~700만원 미만,20250628
53338784,20250707,모름,모름,모름,모름,모름,모름,모름,서울시,모름,혼자서,1박 2일,F,30대,미혼,미혼,사무/기술직,모름,20250628
53339167,20250707,모름,모름,모름,모름,모름,모름,모름,강원도,평창군,4명,2박 3일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,300~500만원 미만,20250418
53339357,20250707,30~40만원 미만,5~7만원 미만,10만원 이상,10만원 이상,1만원 미만,5~7만원 미만,1만원 미만,충청북도,제천시,4명,2박 3일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300만원 미만,20250421
53339516,20250707,10~20만원 미만,3~5만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,포항시,5명 이상,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),자영업,300~500만원 미만,20250411
53339576,20250707,모름,모름,모름,모름,모름,모름,모름,전라북도,남원시,혼자서,1박 2일,M,50대,기혼,자녀 성인(막내 대학),자영업,모름,20250607
53340034,20250707,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,10만원 이상,10만원 이상,제주도,서귀포시(시내동),5명 이상,2박 3일,F,30대,미혼,미혼,사무/기술직,모름,20250614
53340410,20250707,모름,모름,모름,모름,모름,모름,모름,서울시,모름,혼자서,1박 2일,F,30대,미혼,미혼,기타/무직,모름,20250611
53340552,20250707,10만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,영천시,모름,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만,20250505
53340870,20250707,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,김해시,2명,1박 2일,M,50대,기혼,신혼기(자녀 없음),자영업,300만원 미만,20250614
53341064,20250707,10~20만원 미만,1~3만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,강원도,동해시/삼척시,2명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),사무/기술직,300~500만원 미만,20250628
