RESPOND_ID,EXAMIN_BEGIN_DE_x,TOUR_CTPRVN_NM_x,TOUR_SIGNGU_NM_x,TOUR_BEGIN_DE,TOUR_PD_VALUE_x,TOUR_COM_NMPR_NM_x,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD_x,AGRDE_FLAG_NM_x,MRRG_AT_NM_x,CHLDRN_TY_NM_x,OCCP_NM_x,HSHLD_INCOME_DGREE_NM_x,EXAMIN_BEGIN_DE_y,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM_y,TOUR_SIGNGU_NM_y,TOUR_COM_NMPR_NM_y,TOUR_PD_VALUE_y,SEXDSTN_FLAG_CD_y,AGRDE_FLAG_NM_y,MRRG_AT_NM_y,CHLDRN_TY_NM_y,OCCP_NM_y,HSHLD_INCOME_DGREE_NM_y
53351137,20241014,충청남도,보령시/서천군,20240731,2박 3일,4명,부모/형제/자녀 등 가족,,,,,,친지/친구/친척 만나기,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만,20241014,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,충청남도,보령시/서천군,4명,2박 3일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
53351722,20241014,경상북도,청송군,20240821,3박 4일,3명,친구,,,,,,휴식,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300~500만원 미만,20241014,모름,모름,모름,모름,모름,모름,모름,경상북도,청송군,3명,3박 4일,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300~500만원 미만
53351822,20241014,전라남도,나주시/영암군,20240921,1박 2일,4명,친구,,,,,,취미-운동 활동 (등산/ 낚시/ 골프 등),F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만,20241014,10~20만원 미만,3~5만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라남도,나주시/영암군,4명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만
53352095,20241014,강원도,강릉시/동해시/속초시,20240720,2박 3일,5명 이상,부모/형제/자녀 등 가족,,,,,,도시 경관 감상 (건축물/ 거리 등),F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,500~700만원 미만,20241014,20~30만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,7~10만원 미만,1만원 미만,강원도,강릉시/동해시/속초시,5명 이상,2박 3일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,500~700만원 미만
53352152,20241014,강원도,고성군/속초시/양양군,20240929,1박 2일,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만,20241014,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,10만원 이상,1만원 미만,강원도,고성군/속초시/양양군,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만
53352292,20241014,대구시,모름,20240910,1박 2일,2명,연인,,,,,,쇼핑,F,20대,미혼,미혼,자영업,모름,20241014,10~20만원 미만,5~7만원 미만,1만원 미만,1만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,대구시,모름,2명,1박 2일,F,20대,미혼,미혼,자영업,모름
53352302,20241014,강원도,정선군,20240914,2박 3일,2명,배우자,,,,,,휴식,M,30대,기혼,신혼기(자녀 없음),사무/기술직,모름,20241014,모름,모름,모름,모름,모름,모름,모름,강원도,정선군,2명,2박 3일,M,30대,기혼,신혼기(자녀 없음),사무/기술직,모름
53352327,20241014,경상북도,울진군,20240914,2박 3일,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),F,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20241014,모름,모름,모름,모름,모름,모름,모름,경상북도,울진군,2명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
53352339,20241014,강원도,강릉시,20240701,4박 5일,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만,20241014,30~40만원 미만,10만원 이상,7~10만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시,2명,4박 5일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만
53352513,20241014,강원도,홍천군,20240803,1박 2일,5명 이상,배우자,부모/형제/자녀 등 가족,,,,,친지/친구/친척 만나기,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,500~700만원 미만,20241014,모름,모름,모름,모름,모름,모름,모름,강원도,홍천군,5명 이상,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,500~700만원 미만
