RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE,DMSTC_STYLE_GROUP,OVSEA_STYLE_GROUP,HAS_DMSTC_EXP,HAS_OVSEA_EXP,TRAVEL_SCOPE,EXAMIN_QUARTER
53343141,202506,M,40대,서울특별시,700만원 이상,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53343167,202506,M,30대,충청남도(세종시 포함),300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343219,202506,M,50대,경기도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343280,202506,F,50대,충청북도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343358,202506,M,50대,경기도,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53343449,202506,M,20대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343464,202506,F,50대,대전광역시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343510,202506,M,60대,경상남도,모름,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53343514,202506,F,50대,서울특별시,300이상500만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53343549,202506,F,60대,경상남도,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343614,202506,F,40대,인천광역시,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343629,202506,F,30대,경기도,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343701,202506,M,50대,경상남도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343781,202506,M,50대,부산광역시,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343796,202506,M,40대,경기도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343809,202506,F,50대,경기도,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343812,202506,F,50대,제주도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343827,202506,M,60대,전라남도,500이상700만원 미만,에어텔 또는 에어카텔 패키지 여행,단체 패키지 여행,패키지여행,패키지여행,True,True,국내외 모두,2
53343828,202506,M,20대,서울특별시,모름,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53343850,202506,F,20대,제주도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343878,202506,M,50대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343889,202506,F,30대,서울특별시,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53343935,202506,M,20대,대구광역시,모름,단체 패키지 여행,에어텔 또는 에어카텔 패키지 여행,패키지여행,패키지여행,True,True,국내외 모두,2
53343995,202506,M,30대,전라남도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
