RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TRIP_DAYS,TOTAL_EXP_MID_MANWON,TRAVEL_STYLE_GROUP,TRAVEL_MONTH,IS_PEAK_SEASON
94696,20251020,강원도,20250930,1박 2일,2명,배우자,취미-운동 활동 (등산/ 낚시/ 골프 등),F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,2.0,15,소규모 동반,9,False
98584,20250721,강원도,20250418,3박 4일,3명,부모/형제/자녀 등 가족,식도락 (지역 특색/제철 음식),M,60대 이상,기타,자녀 성인(막내 대학),자영업,30~40만원 미만,5~7만원 미만,7~10만원 미만,7~10만원 미만,1만원 미만,7~10만원 미만,1만원 미만,4.0,35,소규모 동반,4,False
100034,20250602,울산시,20250322,1박 2일,3명,친구,휴식,M,30대,미혼,미혼,사무/기술직,10~20만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1~3만원 미만,3~5만원 미만,2.0,15,소규모 동반,3,False
100034,20251124,경상북도,20251003,2박 3일,혼자서,혼자서,친지/친구/친척 만나기,M,30대,미혼,미혼,사무/기술직,20~30만원 미만,1만원 미만,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,3.0,25,홀로여행,10,False
101996,20251229,강원도,20251018,1박 2일,2명,배우자,친지/친구/친척 만나기,M,30대,기혼,신혼기(자녀 없음),사무/기술직,20~30만원 미만,1만원 미만,10만원 이상,7~10만원 미만,1~3만원 미만,1만원 미만,1만원 미만,2.0,25,소규모 동반,10,False
104100,20250825,전라북도,20250519,1박 2일,2명,배우자,역사-유적 감상 (유적지/ 박물관 등),F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,20~30만원 미만,3~5만원 미만,10만원 이상,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,2.0,25,소규모 동반,5,True
105156,20250721,충청북도,20250606,1박 2일,2명,배우자,친지/친구/친척 만나기,M,60대 이상,기혼,자녀 독립(막내 결혼),기능/숙련/일반작업직,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,2.0,15,소규모 동반,6,True
106280,20250915,경기도,20250815,1박 2일,2명,배우자,친지/친구/친척 만나기,F,60대 이상,기혼,신혼기(자녀 없음),기타/무직,10~20만원 미만,1만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,5~7만원 미만,2.0,15,소규모 동반,8,True
107327,20250623,강원도,20250622,1박 2일,3명,친구,휴식,F,60대 이상,기타,자녀 독립(막내 결혼),사무/기술직,10~20만원 미만,3~5만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,2.0,15,소규모 동반,6,True
107336,20250602,울산시,20250324,1박 2일,5명 이상,배우자,휴식,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,10~20만원 미만,3~5만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,2.0,15,단체 동반,3,False
