RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE,HAS_DMSTC_EXP,HAS_OVSEA_EXP,TRAVEL_STYLE_SCOPE
53324918,202506,F,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53324923,202506,M,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행,True,True,국내+해외
53324971,202506,F,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53324973,202506,M,60대,서울특별시,300이상500만원 미만,여행경험없음,개별 여행,False,True,해외만
53324978,202506,F,60대,서울특별시,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53325030,202506,F,60대,서울특별시,300만원 미만,단체 패키지 여행,여행경험없음,True,False,국내만
53325053,202506,F,50대,서울특별시,모름,개별 여행,개별 여행,True,True,국내+해외
53325079,202506,M,60대,경기도,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53325109,202506,F,40대,서울특별시,모름,에어텔 또는 에어카텔 패키지 여행,여행경험없음,True,False,국내만
53325115,202506,M,30대,경기도,모름,여행경험없음,개별 여행,False,True,해외만
53325121,202506,F,60대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53325124,202506,F,60대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53325147,202506,F,60대,서울특별시,모름,단체 패키지 여행,단체 패키지 여행,True,True,국내+해외
53325151,202506,F,30대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53325222,202506,F,60대,서울특별시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53325324,202506,F,40대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53325388,202506,F,50대,경기도,모름,개별 여행,여행경험없음,True,False,국내만
53325412,202506,F,30대,충청남도(세종시 포함),300만원 미만,개별 여행,여행경험없음,True,False,국내만
53325431,202506,F,40대,강원도,모름,개별 여행,여행경험없음,True,False,국내만
53325454,202506,F,50대,경상남도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53325476,202506,F,50대,경기도,모름,개별 여행,여행경험없음,True,False,국내만
53325516,202506,M,60대,인천광역시,500이상700만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
53325521,202506,F,40대,경기도,500이상700만원 미만,여행경험없음,개별 여행,False,True,해외만
53325544,202506,M,60대,전라북도,모름,개별 여행,여행경험없음,True,False,국내만
53325599,202506,M,40대,충청남도(세종시 포함),700만원 이상,개별 여행,여행경험없음,True,False,국내만
53325692,202506,M,40대,경기도,모름,개별 여행,여행경험없음,True,False,국내만
53325713,202506,F,40대,경기도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53325751,202506,M,20대,광주광역시,모름,개별 여행,여행경험없음,True,False,국내만
53325796,202506,F,60대,경기도,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53325800,202506,F,60대,경기도,300이상500만원 미만,여행경험없음,개별 여행,False,True,해외만
53325803,202506,F,40대,서울특별시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53325838,202506,F,30대,충청남도(세종시 포함),700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53325899,202506,M,50대,서울특별시,300이상500만원 미만,여행경험없음,개별 여행,False,True,해외만
53325939,202506,M,60대,인천광역시,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53325967,202506,F,50대,충청남도(세종시 포함),모름,개별 여행,여행경험없음,True,False,국내만
53326024,202506,F,20대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53326110,202506,M,60대,경기도,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53326113,202506,F,50대,강원도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53326151,202506,F,40대,경기도,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53326163,202506,F,60대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53326174,202506,M,40대,경기도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53326190,202506,M,40대,대구광역시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53326244,202506,M,40대,부산광역시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53326350,202506,M,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53326411,202506,M,40대,경상남도,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53326470,202506,M,50대,인천광역시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53326475,202506,F,40대,울산광역시,300이상500만원 미만,개별 여행,개별 여행,True,True,국내+해외
