row_id,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,weight
498,강원도,속초시,0.5
498,강원도,양양군,0.5
499,전라남도,화순군,1.0
501,경상북도,안동시,1.0
502,경상북도,안동시,1.0
503,강원도,동해시,1.0
504,충청남도,세종특별자치시,1.0
505,전라북도,전주시,1.0
506,충청북도,괴산군,1.0
508,전라북도,김제시,1.0
510,전라남도,곡성군,0.3333333333333333
510,전라남도,광양시,0.3333333333333333
510,전라남도,순천시,0.3333333333333333
511,경상북도,경주시,1.0
512,강원도,양양군,1.0
513,강원도,춘천시,1.0
517,경기도,안양시,1.0
518,강원도,속초시,1.0
519,경상남도,양산시,1.0
520,경상남도,통영시,1.0
521,강원도,홍천군,1.0
522,강원도,속초시,1.0
523,충청북도,단양군,0.3333333333333333
523,충청북도,제천시,0.3333333333333333
523,충청북도,충주시(구 청원군 포함),0.3333333333333333
524,강원도,동해시,1.0
525,경상북도,경주시,1.0
527,강원도,속초시,1.0
528,전라북도,진안군,1.0
529,전라남도,장흥군,1.0
531,제주도,구좌읍,0.07142857142857142
531,제주도,남원읍,0.07142857142857142
531,제주도,대정읍,0.07142857142857142
531,제주도,서귀포시(시내동),0.07142857142857142
531,제주도,성산읍,0.07142857142857142
531,제주도,안덕면,0.07142857142857142
531,제주도,애월읍,0.07142857142857142
531,제주도,우도면,0.07142857142857142
531,제주도,제주시(시내동),0.07142857142857142
531,제주도,조천읍,0.07142857142857142
531,제주도,추자면,0.07142857142857142
531,제주도,표선면,0.07142857142857142
531,제주도,한경면,0.07142857142857142
531,제주도,한림읍,0.07142857142857142
533,강원도,강릉시,1.0
534,제주도,한경면,0.5
534,제주도,한림읍,0.5
535,강원도,삼척시,1.0
536,충청남도,당진시,1.0
537,전라남도,여수시,1.0
538,전라북도,전주시,1.0
539,경상북도,구미시,1.0
540,경기도,수원시,1.0
541,제주도,성산읍,0.25
541,제주도,애월읍,0.25
541,제주도,제주시(시내동),0.25
541,제주도,한림읍,0.25
542,제주도,우도면,1.0
545,전라남도,해남군,1.0
546,경상남도,거제시,1.0
547,강원도,강릉시,1.0
548,경상남도,거제시,1.0
550,경상북도,경주시,1.0
552,전라남도,완도군,1.0
554,경기도,안산시,1.0
555,충청남도,세종특별자치시,1.0
556,경상남도,통영시,1.0
557,제주도,서귀포시(시내동),0.5
557,제주도,애월읍,0.5
558,전라남도,장성군,1.0
559,충청북도,괴산군,1.0
560,강원도,삼척시,0.3333333333333333
560,강원도,속초시,0.3333333333333333
560,강원도,태백시,0.3333333333333333
561,충청남도,서천군,1.0
563,전라남도,고흥군,1.0
564,경상남도,밀양시,0.5
564,경상남도,사천시,0.5
565,경상남도,진주시,1.0
566,강원도,양양군,1.0
570,경상남도,거제시,1.0
571,강원도,평창군,1.0
574,강원도,정선군,1.0
575,경기도,구리시,1.0
576,충청남도,태안군,1.0
577,강원도,영월군,1.0
578,강원도,강릉시,0.25
578,강원도,양구군,0.25
578,강원도,평창군,0.25
578,강원도,화천군,0.25
580,전라남도,신안군,1.0
582,강원도,양양군,1.0
583,전라북도,군산시,0.5
583,전라북도,정읍시,0.5
584,제주도,구좌읍,0.3333333333333333
584,제주도,서귀포시(시내동),0.3333333333333333
584,제주도,조천읍,0.3333333333333333
585,경기도,포천시,1.0
587,강원도,속초시,1.0
589,제주도,애월읍,0.5
589,제주도,제주시(시내동),0.5
590,강원도,정선군,1.0
591,충청북도,음성군,1.0
592,전라북도,전주시,1.0
594,충청남도,태안군,1.0
595,충청북도,괴산군,1.0
596,전라남도,목포시,1.0
602,경상북도,문경시,1.0
605,강원도,삼척시,1.0
606,전라남도,여수시,1.0
608,경기도,화성시,1.0
609,강원도,속초시,0.5
609,강원도,양양군,0.5
610,충청남도,보령시,0.5
610,충청남도,홍성군,0.5
611,경상북도,봉화군,0.5
611,경상북도,성주군,0.5
612,전라남도,무안군,1.0
613,강원도,홍천군,1.0
614,강원도,태백시,1.0
618,강원도,속초시,1.0
619,강원도,고성군,1.0
620,전라남도,여수시,1.0
621,경상북도,울진군,1.0
622,충청북도,충주시(구 청원군 포함),1.0
623,강원도,양양군,1.0
624,경상북도,영덕군,1.0
627,경상북도,경주시,1.0
